PostalCode,latitude,longitude
B1,52.47872,-1.90723
B2,52.47871,-1.89692
B3,52.48051,-1.90134
B4,52.48231,-1.89397
B5,52.46972,-1.89547
B6,52.50388,-1.88508
B7,52.49307,-1.87185
B8,52.49034,-1.84092
B9,52.47776,-1.84833
B10,52.46967,-1.8513
B11,52.4544,-1.85871
B12,52.45982,-1.88225
B13,52.43644,-1.8779
B14,52.41757,-1.88824
B15,52.46615,-1.92345
B16,52.47604,-1.93374
B17,52.46077,-1.96026
B18,52.49132,-1.92341
B19,52.4967,-1.90425
B20,52.51379,-1.91747
B21,52.50661,-1.93959
B23,52.52812,-1.85405
B24,52.51909,-1.82755
B25,52.46513,-1.8204
B26,52.46059,-1.78951
B27,52.44446,-1.82196
B28,52.4265,-1.84115
B29,52.43739,-1.94704
B30,52.42209,-1.92794
B31,52.40772,-1.97207
B32,52.44819,-1.99264
B33,52.48036,-1.78647
B34,52.49564,-1.78051
B35,52.51903,-1.78776
B36,52.50373,-1.77899
B37,52.47847,-1.74083
B38,52.39962,-1.93385
B40,52.45865,-1.72181
B42,52.53357,-1.91154
B43,52.54797,-1.92921
B44,52.54523,-1.88349
B45,52.38795,-2.00882
B46,52.50803,-1.69351
B47,52.38699,-1.8795
B48,52.35557,-1.9486
B49,52.21704,-1.86679
B50,52.16847,-1.85377
B60,52.3259,-2.04989
B61,52.34477,-2.06753
B62,52.45628,-2.03238
B63,52.45177,-2.06622
B64,52.47244,-2.06773
B65,52.48325,-2.04271
B66,52.49314,-1.96465
B67,52.48595,-1.97644
B68,52.47876,-2
B69,52.50213,-2.02799
B70,52.52012,-2.00295
B71,52.5354,-1.98968
B72,52.55145,-1.82153
B73,52.55238,-1.84217
B74,52.58297,-1.8583
B75,52.5784,-1.80813
B76,52.5451,-1.78616
B77,52.61855,-1.66762
B78,52.60598,-1.67362
B79,52.65005,-1.68069
B80,52.27641,-1.89593
B90,52.4004,-1.82361
B91,52.41382,-1.78238
B92,52.43628,-1.77345
B93,52.38048,-1.74288
B94,52.3509,-1.7915
B95,52.28524,-1.78008
B96,52.25217,-1.96044
B97,52.29893,-1.95454
B98,52.3034,-1.91346
